Physics Reports;Phys. Rep.
New Astronomy Review;New Astron. Rev.
Nature;Nature
Journal of Cosmology and Astro-Particle Physics;"J. Cosmology & Astro-Part. Phys."
Acta Astronomica;Acta Astron.
The Astronomical Journal;AJ
Monthly Notes of the Astronomical Society of Southern Africa;MNASSA
Astrophysics and Space Science;"Ap&SS"
Science;Science
Quarterly Journal of the Royal Astronomical Society;QJRAS
Space Science Reviews;Space Sci. Rev.
Soviat Astronomy;SvA
Bulletin of the American Astronomical Society;BAAS
Astrofizika;Afz
Astronomy and Astrophysics;"A&A"
Astronomy \& Astrophysics;"A&A"
Astronomische Nachrichten;Astron. Nachrichten
Annual Review of Astronomy and Astrophysics;"ARA&A"
Astronomy and Astrophysics Supplement Series;"A&AS"
Publications of the Astronomical Society of the Pacific;PASP
Astronomy Society of the Pacific Conference Series;ASP Conf. Ser.
The Astrophysical Journal Supplement Series;ApJS
Astronomicheskij Zhurnal;Azh
Publications of the Astronomical Society of Japan;PASJ
Revista Mexicana de Astronomia y Astrofisica;Rev. Mex. Astron. Astrofis
The Astronomy and Astrophysics Reviw;"A&ARv"
GRB Coordinates Network;NASA-GCN
The Astrophysical Journal;ApJ
Monthly Notices of the Royal Astronomical Society;MNRAS
Memoirs of the Royal Astronomical Society;Mem. RAS
